sclk,File_name,Target_plan,SiO2,SiO2_RMSEP,SiO2_shots_stdev,TiO2,TiO2_RMSEP,TiO2_shots_stdev,Al2O3,Al2O3_RMSEP,Al2O3_shots_stdev,FeOT,FeOT_RMSEP,FeOT_shots_stdev,MgO,MgO_RMSEP,MgO_shots_stdev,CaO,CaO_RMSEP,CaO_shots_stdev,Na2O,Na2O_RMSEP,Na2O_shots_stdev,K2O,K2O_RMSEP,K2O_shots_stdev,Sum_of_Oxides,Spectrum_Total
557030014,CL5_557030014CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.2,6.8,0.9,0.69,0.42,0.02,5.4,3.1,0.2,13.8,3.2,0.6,2.7,1.6,0.1,20.4,4,1.1,0.82,0.5,0.03,0.31,0.6,0.02,74.21,6.03E+14
557030084,CL5_557030084CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.9,6.7,2.4,0.67,0.41,0.03,5.9,3.2,0.5,13.1,3.1,1.1,2.6,1.6,0.2,20.7,4.1,2.1,0.9,0.52,0.1,0.33,0.61,0.05,75.13,5.67E+14
557030148,CL5_557030148CCS_F0652186CCAM06797P1.SAV,Abagadasset,29.4,6.9,0.6,0.66,0.41,0.01,5.7,3.1,0.1,13,3.1,0.5,2.4,1.6,0.1,21.2,4.1,0.7,0.89,0.52,0.03,0.36,0.62,0.01,73.51,5.67E+14
557030252,CL5_557030252CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.7,6.8,1.3,0.68,0.42,0.01,5.6,3.1,0.2,13.7,3.2,0.6,2.9,1.7,0.1,18.8,3.8,0.9,0.98,0.54,0.05,0.38,0.62,0.02,73.84,4.90E+14
557030460,CL5_557030460CCS_F0652186CCAM06797P1.SAV,Abagadasset,30.1,6.8,2,0.69,0.42,0.04,5.9,3.2,0.3,13.4,3.1,1.1,2.8,1.6,0.2,21.9,4.3,2,0.9,0.52,0.1,0.33,0.61,0.05,76.02,5.58E+14
557030524,CL5_557030524CCS_F0652186CCAM06797P1.SAV,Abagadasset,29.7,6.9,1.2,0.67,0.41,0.02,5.6,3.1,0.3,13.6,3.2,1,3.1,1.7,0.3,21.4,4.2,1.5,0.86,0.51,0.06,0.29,0.59,0.03,75.15,5.87E+14
557030628,CL5_557030628CCS_F0652186CCAM06797P1.SAV,Abagadasset,27.6,7,4.3,0.61,0.39,0.02,7,3.3,0.4,20.9,4,7,2.1,1.6,0.2,7.8,2.4,2.3,10.68,1.25,1.17,0.16,0.56,0.03,76.86,3.50E+14
557030836,CL5_557030836CCS_F0652186CCAM06797P1.SAV,Abagadasset,31.4,6.7,3.3,0.66,0.41,0.06,6.6,3.3,0.5,13.2,3.1,1.6,2.6,1.6,0.2,20.5,4,3.2,1.04,0.56,0.15,0.4,0.63,0.08,76.31,4.98E+14
557030899,CL5_557030899CCS_F0652186CCAM06797P1.SAV,Abagadasset,50.5,5,0.2,0.94,0.48,0.03,11.6,3.6,0.7,21.3,4,0.2,5.8,2,0.2,2,1,0.2,2.32,0.62,0.18,0.88,0.82,0.08,95.26,5.15E+14
569534196,CL5_569534196CCS_F0672420CCAM01938P1.SAV,Aberfoyle_2,49.7,5,0.5,1,0.49,0.08,10.4,3.5,0.7,19.9,3.9,0.4,4.3,1.8,0.2,1.8,1,0.1,2.76,0.62,0.23,0.84,0.8,0.05,90.53,3.00E+14
