target_plan,Sequence,inst_type,notes
Cal Target 10,ccam04010,CCAM, 
Cal Target 9,ccam05010,CCAM, 
Cal Target 8,ccam05010,CCAM, 
Cal Target 7,ccam05010,CCAM, 
Cal Target 6,ccam05010,CCAM, 
Cal Target 5,ccam05010,CCAM, 
Cal Target 4,ccam05010,CCAM, 
Cal Target 3,ccam05010,CCAM, 
Cal Target 2,ccam05010,CCAM, 
Cal Target 1,ccam05010,CCAM, 
Cal Target 10,ccam02012,CCAM, 
Cal Target 9,ccam02012,CCAM, 
Cal Target 8,ccam02012,CCAM, 
Cal Target 7,ccam02012,CCAM, 
Cal Target 6,ccam02012,CCAM, 
Cal Target 5,ccam02012,CCAM, 
Cal Target 4,ccam02012,CCAM, 
Cal Target 3,ccam02012,CCAM, 
Cal Target 2,ccam02012,CCAM, 
Cal Target 1,ccam02012,CCAM, 
Coronation,ccam03012,CCAM, 
Coronation,ccam02013,CCAM, 
Cal Target 10,ccam03013,CCAM, 
Cal Target 8,ccam03013,CCAM, 
Blanchet,ccam04013,CCAM, 
Goulburn_1,ccam05013,CCAM, 
Wolverine,ccam06013,CCAM, 
Goulburn_2,ccam01014,CCAM, 
Goulburn_3,ccam02014,CCAM, 
Goulburn_5,ccam03014,CCAM, 
Goulburn_6,ccam04014,CCAM, 
Goulburn_4,ccam01015,CCAM, 
Cal Target 10,ccam02015,CCAM, 
Stark,ccam03015,CCAM, 
Douglas,ccam04015,CCAM, 
Mara,ccam05015,CCAM, 
Mara_1,ccam01019,CCAM, 
Goulburn_7,ccam02019,CCAM, 
Peacock_Hills,ccam15305,CCAM, 
Beechey,ccam03019,CCAM, 
Goulburn_8,ccam04019,CCAM, 
Thor_Lake,ccam01022,CCAM, 
Preble,ccam02022,CCAM, 
Murky,ccam03022,CCAM, 
Cal Target 10,ccam01027,CCAM, 
Cal Target 9,ccam01027,CCAM, 
Cal Target 8,ccam01027,CCAM, 
Cal Target 7,ccam01027,CCAM, 
Cal Target 6,ccam01027,CCAM, 
Cal Target 5,ccam01027,CCAM, 
Cal Target 4,ccam01027,CCAM, 
Cal Target 3,ccam01027,CCAM, 
Cal Target 2,ccam01027,CCAM, 
Cal Target 1,ccam01027,CCAM, 
Link,ccam02027,CCAM, 
Cal Target 11,ccam01030,CCAM, 
Cal Target 8,ccam02030,CCAM, 
Cal Target 6,ccam02030,CCAM, 
Cal Target 5,ccam02030,CCAM, 
Cal Target 10,ccam03030,CCAM, 
Cal Target 10,ccam04030,CCAM, 
Cal Target 9,ccam01032,CCAM, 
Cal Target 7,ccam01032,CCAM, 
