geom,Name,TerrainMIN,TerrainMAX,Color
0103000020E61000000100000060000000C9B33F1E142C6140FECFE248DDA712C0EDC3A635142C6140BF086F16E1A712C09E1A2369142C614023D4C435E0A712C01B56489A142C614066048D29DEA712C072FEC9D4142C614084D635ACE1A712C004C81BD0142C61400DB1A208EBA712C054F4DB7B142C61407F1ED9B6EFA712C0C530033F142C61406D94D33EFAA712C0185DC3EA132C61405E640B4BFCA712C07A8EFAC2132C61407ADC764908A812C0D2BF319B132C61408C5271D112A812C00BDB889D132C614021C4896C1AA812C051FB56CC132C6140A7CADCCF1EA812C06D054525142C6140B39C855222A812C0A6209C27142C6140B940D75729A812C0A6209C27142C614076C106303BA812C0D0367CFD132C6140DB97919F41A812C09B219EB9132C614020C859933FA812C07A8EFAC2132C6140555641F837A812C0620647B7132C6140C0E4285D30A812C0EACA2186132C6140FB1662C72FA812C0A52D9036132C614061EDEC3636A812C0F5D61303132C6140D31F26A135A812C02FF8E3C3122C6140A9B6D1DF33A812C0CA4AEB5C122C6140FB1662C72FA812C087AD590D122C6140FB515F0B35A812C0C1CE29CE112C614034EB7BC034A812C0FFEFF98E112C614034EB7BC034A812C09ABFC448112C61407328EA7A3BA812C0529FF619112C6140349C738C44A812C0AD4DF112112C614035D770D049A812C082B4D45D112C6140D9AF6CB651A812C0370B5191112C6140411F14DB57A812C04610C8BD112C6140C26D0A496AA812C005E0FE96112C6140192C243971A812C0A89ACE6D112C6140271DB6F774A812C08D0DA435112C6140D2623F9073A812C075EEBAF9102C6140B5801B136CA812C05B123801112C6140C8290AC761A812C0E6A7A5DD102C614038BBC65F55A812C049F34EC5102C61407F84AB0853A812C0E345565E102C614088C170C74BA812C053FF4042102C6140BCE166BC53A812C0E194AE1E102C6140AB47E6495AA812C0E194AE1E102C61403D6F935F60A812C071DBC33A102C6140B0FBB24965A812C05EB66140102C6140217964F26DA812C0B84AEA29102C6140BB246D1873A812C0F6B91019102C6140C915FFD676A812C0A7DCA82D102C6140904D27E780A812C0AD84B951102C6140332757E48BA812C0576E0634102C61400A7E98D68CA812C00C971707102C61404E2894438AA812C07699E1EC0F2C6140D34E34A088A812C073E839AD0F2C614012BB5D9585A812C00835C8870F2C6140766666BB8AA812C030CEE43C0F2C61402909AB078AA812C0B1F5101D0F2C6140EE9B745985A812C09FD627E10E2C614051477D7F8AA812C0AB1DF7690D2C61400497407566A812C048D24D820D2C614010F3EE6F5FA812C0CAAA21A20D2C6140D9C38A395BA812C08E2108D10D2C6140C80F081A55A812C07A7E61F60D2C61409E0FBE3950A812C0EF999B590E2C6140B63D15B74CA812C0ADDB1CAA0E2C6140049BD06A4DA812C0EC44CADA0E2C6140C64D90B150A812C0188915110F2C6140C42EA77550A812C06ECE453A0F2C61406BEFC74448A812C0D2CA96610F2C61407E98B6F83DA812C0CA1376630F2C61403C97A93F36A812C02B5F1F4B0F2C6140D7EBA01931A812C09C180A2F0F2C6140EAA40AC82AA812C0D8D00F200F2C6140780870E321A812C02B5F1F4B0F2C6140A0D047D317A812C03CCD60470F2C6140135D67BD1CA812C0743095B90F2C6140667E6A6B2CA812C077E13CF90F2C6140ED29739131A812C07B73723E102C6140A9A656E52FA812C0411EBE5E102C614066E046702DA812C030807A7E102C6140E1DA3B3A2BA812C0419A7FED102C61401838137E23A812C0713D1868112C614049908F671BA812C0A341FF95112C614031F4516018A812C0E45B5406122C6140267CE6610CA812C0CE50641B122C6140DE010AEDFEA712C099A92538122C6140376C7FBDF5A712C0A63A8445122C614073872D78F1A712C04C1FA469122C61408C8666E9EDA712C0B2BCBE92122C6140BA1515DDE9A712C0A7B0CC15132C614099AA4FA5E6A712C0EA4D5E65132C6140734C3034ECA712C07A947381132C61405E78163BE7A712C0B22C8EA4132C61409306FE9FDFA712C03AF066E1132C6140D736C693DDA712C0C9B33F1E142C6140FECFE248DDA712C0,SMR,3,4,3
0103000020E6100000010000001A0000009B219EB9132C614020C859933FA812C04073A3C0132C614035D770D049A812C0748EFAC2132C6140DC8386AF56A812C0326E2C94132C61408F8C4A895CA812C05B074949132C61403C2CBAA160A812C0BB388021132C6140A102451167A812C03EFD5AF0122C6140E213CDC472A812C06B9CF063122C6140BC7AB00F73A812C087AD590D122C6140E213CDC472A812C04510C8BD112C6140C26D0A496AA812C0370B5191112C6140411F14DB57A812C082B4D45D112C6140D9AF6CB651A812C0AD4DF112112C614035D770D049A812C0529FF619112C6140349C738C44A812C09ABFC448112C61407328EA7A3BA812C0FFEFF98E112C614034EB7BC034A812C0C1CE29CE112C614034EB7BC034A812C087AD590D122C6140FB515F0B35A812C0CA4AEB5C122C6140FB1662C72FA812C02FF8E3C3122C6140A9B6D1DF33A812C0F5D61303132C6140D31F26A135A812C0A52D9036132C614061EDEC3636A812C0EACA2186132C6140FB1662C72FA812C0620647B7132C6140C0E4285D30A812C07A8EFAC2132C6140555641F837A812C09B219EB9132C614020C859933FA812C0,MR,6,10,5
0103000020E6100000010000004D0000003EFD5AF0122C6140E213CDC472A812C0BD388021132C6140A102451167A812C05B074949132C61403C2CBAA160A812C0326E2C94132C61408F8C4A895CA812C0748EFAC2132C6140DC8386AF56A812C04073A3C0132C614035D770D049A812C09B219EB9132C614020C859933FA812C0D0367CFD132C6140DB97919F41A812C0A6209C27142C614076C106303BA812C0A6209C27142C6140B940D75729A812C06D054525142C6140B39C855222A812C051FB56CC132C6140A7CADCCF1EA812C00BDB889D132C614021C4896C1AA812C0D2BF319B132C61408C5271D112A812C07A8EFAC2132C61407ADC764908A812C0185DC3EA132C61405E640B4BFCA712C0C530033F142C61406D94D33EFAA712C054F4DB7B142C61407F1ED9B6EFA712C004C81BD0142C61400DB1A208EBA712C072FEC9D4142C614084D635ACE1A712C01B56489A142C614066048D29DEA712C04EEE62BD142C6140C5FBC84FD8A712C0BFA74DA1142C614006215CF3CEA712C062F952A8142C614024420DAAC2A712C0B9A1D4E2142C6140C50FD43FC3A712C0B69B5B24152C614072AF4358C7A712C045E27040152C614006215CF3CEA712C0C1A0D250152C6140B3C0CB0BD3A712C05064AB8D152C61401F00AB3CDBA712C0F1AF37D6152C6140BF086F16E1A712C059E06C1C162C614019484E47E9A712C0EEA243C7162C614052E16AFCE8A712C0EB9CCA08172C61402690F151F7A712C02A3A5C58172C6140F3D523E603A812C002A13FA3172C614031F4516018A812C08E6418E0172C61408D03699D22A812C09A63164E182C614081A7BAA229A812C029AA2B6A182C6140D31F26A135A812C038AFA296182C6140A3FE74EA41A812C0E9885BA9182C61409B23F6C75AA812C0AD61122A192C6140C9115C4E71A812C0048DD043192C61406FBE712D7EA812C0D7FA2EDF182C6140A3DA2E3191A812C06CCAF998182C6140B9AE482A96A812C029AA2B6A182C6140EB540BA69EA812C0EE954FB8172C614089B0A7DAB9A812C04BC78690172C614058BBDC2AC1A812C073DD6666172C61401C3A9B8CD1A812C033C311F6162C6140128FE45DE8A812C0C60FA0D0162C61401A333663EFA812C016B9239D162C6140B73BFA3CF5A812C0E3A34559162C61402E424DA0F9A812C0907E00FE152C6140AEA44EFEF6A812C0CE220D9E152C614060371850F2A812C0A0906B39152C6140F1D416F2F4A812C0980E31EC142C6140FA608DE0EBA812C0DCB13BFA142C6140CD231F26E5A812C0F93E6632152C61400019EAD5DDA812C0FFC1A211152C61400CB09514DCA812C0D1ACC4CD142C614026B2068BDDA812C09814AAAA142C6140A61408E9DAA812C0D1B23D8C142C614059A7D13AD6A812C07C0ABC51142C61403DA560C4D4A812C00252D3FF132C6140FF67F209CEA812C0ABA951C5132C6140D02A844FC7A812C0979E61DA132C614010B7FA3DBEA812C0961B25FB132C614052178B25BAA812C00252D3FF132C61407D2D078CA6A812C0ABA951C5132C61402F85D3999CA812C033F16873132C6140E9BBEEF09EA812C05C8A8528132C614062669359AAA812C0D549E9CA122C61401F36CB65ACA812C06919B484122C61402229259FA3A812C0C344729E122C614042A8F5C691A812C0538B87BA122C6140C9FD505E86A812C06590FEE6122C6140DE20738B7BA812C03EFD5AF0122C6140E213CDC472A812C0,CP,7,9,5
0103000020E6100000010000001E000000E8268238162C6140DFB201B90EA812C0C60FA0D0162C61400CB5722F10A812C08B6B9330172C6140BFF8334D1BA812C0092AF540172C6140D4074B8A25A812C03340D516172C6140AEA92B192BA812C07EE958E3162C61401380B68831A812C0EB1F07E8162C61400F8D5C4F3AA812C00D306EFF162C6140E13BE3A448A812C0B2817306172C61403F14DF8A50A812C0A4F9BFFA162C61404DB6BF1956A812C06DE4E1B6162C6140628AD9125BA812C0CE15198F162C61400F2A492B5FA812C06562A769162C6140E7CB29BA64A812C090FBC31E162C61403739606869A812C0EC2CFBF6152C614016CE9A3066A812C025CB8ED8152C6140420B09EB6CA812C0DFAAC0A9152C6140AE4AE81B75A812C01B49548B152C61408AD4ED936AA812C017C617AC152C61402DFCF1AD62A812C06EF1D5C5152C6140D7552F325AA812C093013DDD152C6140A016500152A812C0BA94E0D3152C61401BD5FF5948A812C0DCA447EB152C6140A3FE74EA41A812C0907E00FE152C61405CFA92FD3EA812C049DBF5EF152C6140FB515F0B35A812C0F1AF37D6152C61402F472ABB2DA812C00238EBE1152C6140409632EF1DA812C0B811A4F4152C614021898C2815A812C0B10B2B36162C61406E80C84E0FA812C0E8268238162C6140DFB201B90EA812C0,CPS,6,7,4
0103000020E6100000010000001A0000009C63164E182C614081A7BAA229A812C08E6418E0172C61408D03699D22A812C002A13FA3172C614031F4516018A812C02A3A5C58172C6140F3D523E603A812C0EB9CCA08172C61402690F151F7A712C0EEA243C7162C614052E16AFCE8A712C02E475067162C61400DC5ADF8D5A712C030CA8C46162C61400CD9B8E8C0A712C060DF6A8A162C61403286E08DABA712C0EB9CCA08172C61405AEF344FADA712C0695B2C19172C614071C34E48B2A712C0B2817306172C61406667A04DB9A712C079E3DF24172C6140E57A9977C6A712C019B2A84C172C614004883F3ECFA712C0DA0D9CAC172C61400A2C9143D6A712C0664E380A182C6140F2FD39C6D9A712C04E3DCF60182C6140AB34551DDCA712C038AFA296182C6140783F8A6DE3A712C0C8F5B7B2182C61400A188653EBA712C08AD4E7F1182C6140AC204A2DF1A712C0AD61122A192C61404B290E07F7A712C09DDFD7DC182C61402C6F409B03A812C05C42468D182C614093DEE7BF09A812C01622785E182C61408C5271D112A812C0DE06215C182C61406F31C01A1FA812C09C63164E182C614081A7BAA229A812C0,RF,4,9,6
0103000020E6100000010000001C00000062F952A8142C614024420DAAC2A712C0BFA74DA1142C614006215CF3CEA712C04EEE62BD142C6140C5FBC84FD8A712C01B56489A142C614066048D29DEA712C09E1A2369142C614023D4C435E0A712C0EDC3A635142C6140BF086F16E1A712C0C9B33F1E142C6140FECFE248DDA712C03AF066E1132C6140D736C693DDA712C0B22C8EA4132C61409306FE9FDFA712C07A947381132C61405E78163BE7A712C0EA4D5E65132C6140734C3034ECA712C0A7B0CC15132C614099AA4FA5E6A712C00A16E80C132C614023D4C435E0A712C0E2FF0737132C6140B6CB005CDAA712C05F3B2D68132C61406CF7E662D5A712C0B6E3AEA2132C614051F575ECD3A712C0FE037DD1132C614039C71E6FD7A712C06134B217142C6140788E92A1D3A712C02D195B15142C6140F14C42FAC9A712C0FB8040F2132C6140D0E17CC2C6A712C09BD245F9132C6140EB6DF3B0BDA712C02A961E36142C6140F7049FEFBBA712C071B6EC64142C614059D0F40EBBA712C0F1F78A54142C61407C5AFA86B0A712C0DA695E8A142C6140ED55189AADA712C0E96ED5B6142C6140C45EDC73B3A712C064AAFAE7142C61405F3949D0BCA712C062F952A8142C614024420DAAC2A712C0,MS,6,10,4
0103000020E610000001000000130000006134B217142C6140788E92A1D3A712C0FE037DD1132C614039C71E6FD7A712C0B6E3AEA2132C614051F575ECD3A712C05F3B2D68132C61406CF7E662D5A712C0E2FF0737132C6140B6CB005CDAA712C00A16E80C132C614023D4C435E0A712C0A7B0CC15132C614099AA4FA5E6A712C0B2BCBE92122C6140BA1515DDE9A712C04C1FA469122C61408C8666E9EDA712C0B0F1A443122C6140C5FBC84FD8A712C064CB5D56122C614051F575ECD3A712C035AF04C2122C6140CBEE2289CFA712C0563C2FFA122C614006215CF3CEA712C0D177542B132C614083EA409CCCA712C0784C9611132C614044ADD2E1C5A712C073461D53132C6140B6DF0B4CC5A712C06F40A494132C6140E5B596BBCBA712C07D451BC1132C61403323CD69D0A712C06134B217142C6140788E92A1D3A712C0,SMR,3,4,3
0103000020E6100000010000000A000000AFF1A443122C6140C5FBC84FD8A712C04C1FA469122C61408C8666E9EDA712C0A53A8445122C614073872D78F1A712C098A92538122C6140376C7FBDF5A712C067D1D614122C614094F2F2AFF4A712C0A26F6AF6112C6140CCDA1799E4A712C00FEF9DF4112C614032C2E4EDDAA712C06A5413F4112C6140FE94E504D8A712C0FA9A2810122C614051F575ECD3A712C0AFF1A443122C6140C5FBC84FD8A712C0,LR,1,1,1
0103000020E6100000010000000F00000098A92538122C6140376C7FBDF5A712C0CD50641B122C6140DE010AEDFEA712C0E45B5406122C6140267CE6610CA812C0A241FF95112C614031F4516018A812C0723D1868112C614049908F671BA812C062A8AE6E112C61400053770B15A812C050CD617A112C614094DEE7BF09A812C096706C88112C6140CD3C073104A812C065551586112C61408B667CC1FDA712C00E2A576C112C6140E4B966E2F0A712C0DF137796112C614025DFF985E7A712C00FEF9DF4112C614032C2E4EDDAA712C0A26F6AF6112C6140CCDA1799E4A712C067D1D614122C614094F2F2AFF4A712C098A92538122C6140376C7FBDF5A712C0,SM,1,3,2
0103000020E6100000010000000B00000062A8AE6E112C61400053770B15A812C0B181D531112C614021898C2815A812C09FF92126112C6140D31B567A10A812C01FB88336112C61407ADC764908A812C0C68CC51C112C61407338254401A812C07EE9BA0E112C614067F08139F3A712C00E2A576C112C6140E4B966E2F0A712C065551586112C61408B667CC1FDA712C097706C88112C6140CD3C073104A812C050CD617A112C614093DEE7BF09A812C062A8AE6E112C61400053770B15A812C0,LR,1,1,1
