geom,TARGET_PLAN,SOL,RMC,EASTING_M,NORTHING_M,ELEV_M,LON_DD,LAT_DD,X,Y,Z,U,V,W,I,J,Image_ID,NOTES
01010000A0E61000002F1AD745BF2B61403E46345A43B712C048E17A148E48B1C0,1_scoop_RP,1222,52_0,8142393.227,-277344.405,-4424.555,137.3670987,-4.678967866,63.863,-54.467,4.645,-0.038999,-0.235993,-0.970972,0,0,None,None
01010000A0E6100000A4D22596B62B61407A0949A4CCB512C05BBC125AAF4BB1C0,Abbabis,1169,51_268,8142330.376,-277259.6773,-4427.684968,137.3660384,-4.677538459,1.30470195,2.29971397,0.242097068,0.343202623,-0.101681661,-0.933741275,378.4198062,313.6416686,NLB_501188309RAS_F0510268NCAM00353M_,potential ChemCam soil target
01010000A0E6100000A43BE8BCB32B614065BCBE8F97B712C0FA526DE78748B1C0,Abenab,1180,51_1126,8142309.764,-277363.446,-4424.530875,137.3656907,-4.679289099,-3.038952834,-2.07681782,-0.317269484,0.195247071,0.155712482,-0.968314133,214.1324768,238.5802307,NLB_502163520RASLF0511126NCAM00354M_,Bumpy bedrock N118002
01010000A0E61000008D6FED5E5F2E614055902CFFAF5B12C042979DD640A8B1C0,Abner,190,6_0,8147256.314,-272043.51,-4520.253275,137.4491419,-4.589538562,-3.182028857,0.733606452,-0.202779916,0.336332365,-0.941386586,-0.02591865,821.8088379,208.756958,NLA_413665900RAS_F0060000NCAM00368M_,
01010000A0E61000003E2B422A622B6140B9C7918AB7D112C01EBB63FF2EFAB0C0,Acadia,1514,59_1596,8141719.529,-278875.6987,-4346.183584,137.355733,-4.704801717,-1.927679069,-1.26590066,-0.306415564,0.301995674,0.180106322,-0.936141205,674.6892821,633.38161,NLB_531734905RAS_F0591596NCAM00653M_,
01010000A0E6100000E22BD3095C2E614014F9E9352A5C12C03B1988A461A6B1C0,Acasta,104,5_388,8147232.201,-272071.1444,-4518.381417,137.4487352,-4.590004771,-3.410411743,2.375191961,0.130928524,-0.029282259,-0.128764955,-0.991242716,340.3536058,47.54491027,NLA_406558773RAS_D0050388NCAM00313M_,Formerly N2006
01010000A0E6100000DD5669E2EB2D61403F994D4A4E6512C02013A343E295B1C0,Acme,365,12_560,8146420.691,-272600.2716,-4501.883845,137.4350445,-4.598931466,2.734417131,-2.196058677,-0.144964031,-0.024241972,-0.048289975,-0.998539163,626.2461026,763.5917143,NLB_429725663RAS_F0120560NCAM00271M_,Formerly known as N1711. Lightly raised area of light-toned bedrock.
01010000A0E6100000DF8486605F2E61405C30534FB25B12C05739F1711EA8B1C0,Adams_Sound,192,6_0,8147256.359,-272044.0331,-4520.118926,137.4491427,-4.589547386,-3.705053121,0.778772409,-0.337128569,0.387257671,0.339314214,-0.857261549,920.5725869,64.61373985,NLA_413665900RAS_F0060000NCAM00368M_,
01010000A0E61000005BCBD155472E6140452A8281A45D12C02AA258B2C99CB1C0,Adlavik,337,8_234,8147082.4,-272156.6827,-4508.787878,137.4462079,-4.591447853,0.23333848,-4.762165174,-0.331751313,-0.204108922,0.041117135,-0.978084345,191.3216843,702.989216,NLB_427323712RAS_F0080234NCAM05114M_,
01010000A0E61000006703DC08582B614035D9164BA1BF12C04B1B5EE2633AB1C0,aegis_post_01424a,1425,56_1236,8141646.228,-277828.73,-4410.390173,137.3544964,-4.687138723,2.732963556,1.302287584,0.010172846,0,0,-1,153.364784,483.478495,NLB_523293612RAS_F0561236CCAM15904M_,Target selected by Aegis by ccam03422 Aegis post-drive NAVCAM observation of bedrock Uplinked in the sol01422 plan and run on sol01424
