geom,sol,site,pos,Ls,SCLK_START,SCLK_END,lat_dd,lon_dd,easting_m,northing_m,elev_m,straightli,straight_1,traverse_d,total_dist,dist_bradb,azimuth_br,pitch_rad,roll_rad,tilt_rad,yaw_rad,pitch_deg,roll_deg,tilt_deg,yaw_deg,mobtrav_id,mobtrav_to,drive_type,site_pos,5_drive_av,sol_site_p,ORIG_FID
01010000A0E61000002F9F87DB212E6140DC02B73C9D5B12C07A150080F894B1C0,3,2,0,152.2,0,0,-4.589467,137.441633,8146811.223,-272039.2682,-4500.970703,0,0,0,0,0,0,-0.063142,-0.042278,0.075974,1.94637,-3.61777011,-2.422350966,4.352989553,111.5187864,0,0,final,2_0,0,3_2_0,-1
01010000A0E61000006C2E57AF222E6140D7968DB69C5B12C0BD0A00C01E95B1C0,16,3,78,158.9,398917006.2,398917750.3,-4.589465,137.441734,8146817.21,-272039.1497,-4501.120117,6.08,86.65,0,0,6.08,86.65,0.094495,-0.023199,0.097293,-2.304264,5.414164685,-1.329204789,5.574478276,-132.0246021,7.005321,7.005321,final,3_78,7.005321,16_3_78,-1
01010000A0E61000003DD99D4A222E6140F40421E48B5B12C0BD0A00C06295B1C0,21,3,100,162.1,399360690.5,399361043.5,-4.589401,137.441686,8146814.363,-272035.346,-4501.385742,4.66,320.15,0,0,4.5,33.4,0.081274,-0.050702,0.095763,-2.874368,4.656657184,-2.905010613,5.486815734,-164.6891552,4.90158,11.906901,final,3_100,11.906901,21_3_100,-1
01010000A0E61000000CE2CFFB232E6140CF8C1A7E8C5B12C0A2FAFF1F5D96B1C0,22,3,260,162.6,399449582.1,399450378.1,-4.589403,137.441892,8146826.607,-272035.482,-4502.36377,12.18,90.29,0,0,16.13,76.92,-0.074949,-0.022397,0.078218,1.127776,-4.294261379,-1.283253574,4.481561282,64.61680504,15.135191,27.042092,final,3_260,27.042092,22_3_260,-1
01010000A0E6100000C7607359262E6140FA5179FB975B12C07A1500809C96B1C0,24,3,372,163.7,399620288.1,399622880.2,-4.589447,137.442181,8146843.725,-272038.08,-4502.611328,17,98.62,0,0,32.61,88.03,-0.0288,-0.023916,0.037433,2.033314,-1.65011845,-1.370285863,2.144752915,116.5003106,21.507459,48.549551,final,3_372,9.7099102,24_3_372,-1
01010000A0E61000008DD366C3282E614077FF6F40E75B12C0BD0A00C00697B1C0,26,3,530,164.8,399801815.9,399803903,-4.58975,137.442476,8146861.191,-272056.004,-4503.026367,24.66,135.47,0,0,52.73,108.37,-0.024279,0.004355,0.024666,0.789332,-1.391084231,0.24952312,1.413257697,45.22539223,29.794759,78.34431,final,3_530,15.668862,26_3_530,-1
01010000A0E610000018F3B22F2C2E614095D20FBF485C12C0000000008F97B1C0,29,4,0,166.4,400065232.1,400066814.2,-4.590122,137.442894,8146885.959,-272078.049,-4503.558594,30.95,137.21,0,0,82.24,119.16,0.051518,-0.04107,0.065874,-2.098207,2.951763969,-2.353137665,3.77430218,-120.2184056,30.55539,108.8997,final,4_0,20.3788758,29_4_0,-1
01010000A0E610000008C9D6862F2E6140D3ABBECA685C12C05E0500E09A98B1C0,38,4,404,171.3,400866023.2,400867743.8,-4.590244,137.443302,8146910.129,-272085.295,-4504.60498,32.46,99.66,0,0,109.11,114.91,-0.004732,-0.054317,0.054523,1.580736,-0.271123629,-3.112134856,3.123937786,90.56950132,32.347895,141.247595,final,4_404,25.8681388,38_4_404,-1
01010000A0E61000003CEB487D322E6140D3493A737C5C12C000000000C298B1C0,39,4,468,171.9,400953512.8,400954875.9,-4.590319,137.443663,8146931.566,-272089.74,-4504.757813,21.97,109.11,0,0,130.58,112.83,0.038485,-0.107943,0.114573,1.49282,2.205028075,-6.184678328,6.564549346,85.53228557,21.696229,162.943824,final,4_468,27.1803464,39_4_468,-1
01010000A0E61000008D2E10B4362E61401332CA84325C12C05E0500E07798B1C0,40,4,916,172.4,401044455.5,401046243.1,-4.590037,137.444178,8146962.057,-272073.023,-4504.468262,34.91,61.32,0,0,154.64,102.23,0,0.014993,0.014993,1.55764,0,0.859035622,0.859035622,89.246198,37.219224,200.163048,final,4_916,30.3226994,40_4_916,-1
01010000A0E610000011C4CA013A2E61408D5D83C0005C12C05E0500E0F398B1C0,41,4,1238,173,401131212.5,401133455.5,-4.589847,137.444581,8146985.961,-272061.77,-4504.952637,26.47,65.08,0,0,175.95,97.39,-0.016784,-0.030984,0.035237,1.557633,-0.961652363,-1.775252432,2.018931383,89.24579693,26.885716,227.048764,final,4_1238,29.7408908,41_4_1238,-1
01010000A0E6100000CD0061DB3D2E614076795DE0335C12C000000000379BB1C0,42,4,1632,173.5,401221526.6,401224041.7,-4.590042,137.445051,8147013.818,-272073.33,-4507.214844,30.51,112.45,0,0,205.38,99.51,-0.065995,-0.033713,0.074096,1.916378,-3.781234969,-1.931612615,4.245388079,109.8003714,32.016638,259.065402,final,4_1632,30.0331404,42_4_1632,-1
01010000A0E6100000703FC6FB3F2E61400E86FDCCA55C12C043F5FF3FDF9BB1C0,43,4,2002,174.1,401312161.5,401314567.5,-4.590477,137.44531,8147029.205,-272099.09,-4507.87207,30.02,149.34,0,0,226.3,105.28,-0.060252,-0.015813,0.062291,1.431658,-3.452185307,-0.906018161,3.569011402,82.02796111,29.999143,289.064545,final,4_2002,29.56339,43_4_2002,-1
01010000A0E61000000AADC949402E61403FA680029B5C12C0BD0A00C0139CB1C0,45,4,2100,175.2,401489143.2,401490802.2,-4.590435,137.445348,8147031.41,-272096.65,-4508.077148,3.27,40.18,0,0,228.19,104.62,-0.025385,-0.063322,0.068214,2.170114,-1.454453363,-3.62808335,3.908374304,124.3383733,4.452656,293.517201,final,4_2100,26.1146754,45_4_2100,-1
01010000A0E61000008D70A8A1452E6140D5BA47B3775C12C0BD0A00C05E9EB1C0,48,4,2644,176.8,401751632.5,401757540.7,-4.590301,137.446,8147070.072,-272088.666,-4510.370117,39.71,78.09,0,0,263.26,100.86,0.035427,-0.056894,0.067013,2.989617,2.029817581,-3.25978608,3.839562073,171.2924365,41.727642,335.244843,final,4_2644,27.016359,48_4_2644,-1
01010000A0E61000000B95B3C7492E6140FDFF0F08795C12C05E0500E016A0B1C0,49,4,2778,177.4,401844192.9,401845899.1,-4.590306,137.446506,8147100.09,-272088.967,-4512.089355,30.05,90.43,0,0,293.21,99.8,-0.046142,-0.076064,0.088942,1.556837,-2.643741858,-4.358146173,5.096001221,89.20018949,30.739033,365.983876,final,4_2778,27.7870224,49_4_2778,-1
01010000A0E6100000EE147851502E6140342DF607575C12C0BD0A00C08BA3B1C0,50,4,2956,178,401932079.2,401933980.2,-4.590176,137.447304,8147147.398,-272081.279,-4515.545898,47.83,80.96,0,0,339.25,97.14,-0.06452,0.019397,0.067369,0.789319,-3.696723694,1.111366235,3.85995937,45.22464739,48.897897,414.881773,final,4_2956,31.1632742,50_4_2956,-1
01010000A0E610000041F0EB32552E61408F61D52D395C12C07A15008096A4B1C0,52,4,3200,179.1,402107625.2,402110533.7,-4.590062,137.4479,8147182.713,-272074.529,-4516.587891,36.94,79.5,0,0,373.39,95.38,0.013737,-0.044257,0.046338,1.740964,0.787072123,-2.535739314,2.654971831,99.74988948,36.322063,451.203836,final,4_3200,32.4278582,52_4_3200,-1
01010000A0E610000071E2CE86552E6140A6D7A9133A5C12C01B1000A08EA4B1C0,53,4,3232,179.6,402200253.8,402200722,-4.590066,137.44794,8147185.084,-272074.732,-4516.557129,2.37,95.39,0,0,375.79,95.3,0.03397,-0.067624,0.075665,1.420999,1.94633763,-3.874569794,4.335285157,81.41724539,2.092718,453.296554,final,4_3232,31.9558706,53_4_3232,-1
01010000A0E6100000AC032572582E614018494F65395C12C01B1000A0DAA5B1C0,55,4,3416,180.8,402375912.8,402378124.8,-4.590063,137.448297,8147206.207,-272074.578,-4517.854004,21.26,90,0,0,396.41,95.09,-0.023177,0.093784,0.096597,0.003393,-1.327944282,5.373427386,5.534600414,0.19440458,23.481118,476.777672,final,4_3416,28.3065658,55_4_3416,-1
01010000A0E6100000B077F6E3582E61404CFEC1542D5C12C0E5EFFF5FE5A5B1C0,56,4,3474,181.3,402463316.8,402464170.9,-4.590017,137.448351,8147209.424,-272071.85,-4517.895996,4.2,49.9,0,0,399.96,94.66,0.023714,-0.009173,0.025426,-1.352313,1.358712115,-0.525574185,1.45680249,-77.48182748,5.933853,482.711525,final,4_3474,23.3455298,56_4_3474,-1
