category_name,category_reference,reference,set,key,description
"Small, Minor Fault",2.15,02.15.01,FGDCGeoSym01,L,"Small, minor inclined fault — Showing strike and dip."
"Small, Minor Fault",2.15,02.15.02,FGDCGeoSym01,M,"Small, minor vertical or near-vertical fault — Showing strike."
"Small, Minor Fault",2.15,02.15.03,FGDCGeoSym01,N,"Small, minor shear fault — Showing dip. Arrow shows direction of relative horizontal displacement."
"Geophysical Stations",3.3,03.03.04,FGDCGeoSym01,®,
"Geophysical Stations",3.3,03.03.05,FGDCGeoSym01,¯,
"Small, Minor Joints",4.3,04.03.01,FGDCGeoSym01,R,"Small, minor horizontal joint (1st option)."
"Small, Minor Joints",4.3,04.03.02,FGDCGeoSym01,S,"Small, minor inclined joint (1st option) — Showing strike and dip."
"Small, Minor Joints",4.3,04.03.03,FGDCGeoSym01,T,"Small, minor vertical or near-vertical joint (1st option) — Showing strike."
"Small, Minor Joints",4.3,04.03.04,FGDCGeoSym01,U,"Small, minor inclined (dip direction to right) joint, for multiple observations at one locality (1st option) — Showing strike and dip."
"Small, Minor Joints",4.3,04.03.05,FGDCGeoSym01,V,"Small, minor inclined (dip direction to left) joint, for multiple observations at one locality (1st option) — Showing strike and dip."
"Small, Minor Joints",4.3,04.03.06,FGDCGeoSym01,W,"Small, minor vertical or near-vertical joint, for multiple observations at one locality (1st option) — Showing stike."
"Small, Minor Joints",4.3,04.03.07,FGDCGeoSym01,X,"Small, minor horizontal joint (2nd option)."
"Small, Minor Joints",4.3,04.03.08,FGDCGeoSym01,Y,"Small, minor inclined joint (2nd option) — Showing strike and dip."
"Small, Minor Joints",4.3,04.03.09,FGDCGeoSym01,Z,"Small, minor vertical or near-vertical joint (2nd option) — Showing strike."
"Small, Minor Joints",4.3,04.03.10,FGDCGeoSym01,[,"Small, minor inclined (dip direction to right) joint, for multiple observations at one locality (2nd option) — Showing strike and dip."
"Small, Minor Joints",4.3,04.03.11,FGDCGeoSym01,\,"Small, minor inclined (dip direction to left) joint, for multiple observations at one locality (2nd option) — Showing strike and dip."
"Small, Minor Joints",4.3,04.03.12,FGDCGeoSym01,],"Small, minor vertical or near-vertical joint, for multiple observations at one locality (2nd option) — Showing stike."
"Small, Minor Folds",5.11,05.11.01,FGDCGeoSym01,Ï,
"Small, Minor Folds",5.11,05.11.02,FGDCGeoSym01,Ð,
"Small, Minor Folds",5.11,05.11.03,FGDCGeoSym01,Ñ,
"Small, Minor Folds",5.11,05.11.04,FGDCGeoSym01,Ò,
"Small, Minor Folds",5.11,05.11.05,FGDCGeoSym01,Ó,
"Small, Minor Folds",5.11,05.11.06,FGDCGeoSym01,Ô,
"Small, Minor Folds",5.11,05.11.07,FGDCGeoSym01,Õ,
"Small, Minor Folds",5.11,05.11.08,FGDCGeoSym01,Ö,
"Small, Minor Folds",5.11,05.11.09,FGDCGeoSym01,×,
"Small, Minor Folds",5.11,05.11.10,FGDCGeoSym01,Ø,
"Small, Minor Folds",5.11,05.11.11,FGDCGeoSym01,Ù,
"Small, Minor Folds",5.11,05.11.12,FGDCGeoSym01,Ú,
"Small, Minor Folds",5.11,05.11.13,FGDCGeoSym01,Û,
"Small, Minor Folds",5.11,05.11.14,FGDCGeoSym01,Ü,
"Small, Minor Folds",5.11,05.11.15,FGDCGeoSym01,Ý,
"Small, Minor Folds",5.11,05.11.16,FGDCGeoSym01,Þ,
"Small, Minor Folds",5.11,05.11.17,FGDCGeoSym01,ß,
"Small, Minor Folds",5.11,05.11.18,FGDCGeoSym01,à,
"Small, Minor Folds",5.11,05.11.19,FGDCGeoSym01,á,
"Small, Minor Folds",5.11,05.11.20,FGDCGeoSym01,â,
"Small, Minor Folds",5.11,05.11.21,FGDCGeoSym01,ã,
"Small, Minor Folds",5.11,05.11.22,FGDCGeoSym01,ä,
